mp,party,constituency,state,mp_since,attendance,speeches,first_committee,second_committee,vote_share,winning_margin,challenger_party,challenger_share,email,phone,website,preference
Arthur Ali,Liberal,Mühlshafen,South Luzland,2020,53,43,Internal Affairs,Standards and Procedures,27.40%,1.10%,Green,26.30%,a.ali@parliament.luz,+388 216 2412,https://www.arthur-ali.luz,telephone
Chris Antony,Labour,Benwerder,East Luzland,2005,25,9,Constitutional Affairs,External Affairs,30%,3%,Liberal,27%,chris.antony@parliament.luz,+388 216 2252,https://www.chris-antony.luz,e-mail
Chloë Bakker,Labour,Steffisfelden,South Luzland,2015,62,11,Equalities and Human Rights,Constitutional Affairs,29.20%,3.80%,Green,25.40%,chloe.bakker@parliament.luz,+388 216 2260,https://www.chloebakker.luz,telephone
Rose Barnes,Liberal,Dillon,North Luzland,2015,58,9,Legislative Scrutiny,External Affairs,28.50%,0.50%,Green,28%,r.barnes@parliament.luz,+388 216 2346,https://www.rose-barnes.luz,e-mail
Emilia Bauer,Green,Kilnard,East Luzland,2005,54,46,Constitutional Affairs,Standards and Procedures,33.90%,6.40%,Labour,27.50%,e.bauer@parliament.luz,+388 216 2458,https://www.emilia-bauer.luz,e-mail
Wilma Baumann,Green,Granderry,South Luzland,2010,23,9,Legislative Scrutiny,Standards and Procedures,31.70%,3.80%,Labour,27.90%,wilma.baumann@parliament.luz,+388 216 2282,https://www.wilma-baumann.luz,e-mail
Matteo Becker,Labour,Enkmelo,South Luzland,2010,54,32,Legislative Scrutiny,Equalities and Human Rights,33%,7.30%,Green,25.70%,matteo.becker@parliament.luz,+388 216 2375,https://www.matteobecker.luz,e-mail
Patricia Bernard,Labour,Gänsernten,East Luzland,2020,64,11,Legislative Scrutiny,Standards and Procedures,31.90%,3.50%,Conservative,28.40%,patricia.bernard@parliament.luz,+388 216 2401,https://www.patricia-bernard.luz,e-mail
Lina Booth,Liberal,Leonrau,North Luzland,2020,36,46,External Affairs,Internal Affairs,27.60%,1.10%,Green,26.50%,lina.booth@parliament.luz,+388 216 2364,https://www.lina-booth.luz,e-mail
Sophie Bos,Independent,Zotburg,West Luzland,2010,42,9,External Affairs,Constitutional Affairs,33.80%,6.80%,Green,27%,s.bos@parliament.luz,+388 216 2241,https://www.sophiebos.luz,e-mail
Emma Brouwer,Liberal,Perpisier,North Luzland,2000,46,45,Equalities and Human Rights,Standards and Procedures,32%,6.10%,Green,25.90%,e.brouwer@parliament.luz,+388 216 2406,https://www.emmabrouwer.luz,e-mail
Jules Brunner,Conservative,Ligny,West Luzland,2015,27,27,Constitutional Affairs,Equalities and Human Rights,28.60%,2.60%,Labour,26%,jules.brunner@parliament.luz,+388 216 2320,https://www.jules-brunner.luz,telephone
Martyn Buckler,Liberal,Roesringen,North Luzland,2000,41,11,Standards and Procedures,Equalities and Human Rights,29.90%,1.50%,Conservative,28.40%,m.buckler@parliament.luz,+388 216 2390,https://www.martynbuckler.luz,e-mail
Wouter Church,Labour,Shanmeath,East Luzland,2020,37,20,Internal Affairs,External Affairs,33%,4.30%,Liberal,28.70%,w.church@parliament.luz,+388 216 2285,https://www.wouter-church.luz,telephone
Philip Collins,Conservative,Arford,East Luzland,2010,54,46,Constitutional Affairs,External Affairs,33.40%,7.70%,Green,25.70%,p.collins@parliament.luz,+388 216 2243,https://www.philip-collins.luz,telephone
Karl Connor,Liberal,Ebenhaus,West Luzland,2005,24,13,Standards and Procedures,Constitutional Affairs,30.20%,5.40%,Green,24.80%,k.connor@parliament.luz,+388 216 2401,https://www.karlconnor.luz,e-mail
Liam Connors,Liberal,Sachsenräschen,West Luzland,2000,36,23,Standards and Procedures,Internal Affairs,29%,1.10%,Conservative,27.90%,liam.connors@parliament.luz,+388 216 2414,https://www.liam-connors.luz,telephone
